path,session,subject_id,finger_id,image_name,height,width,channels,size_bytes,status
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_4\03.jpg,1st_session,001,4,03.jpg,480,640,3,9904,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_4\04.jpg,1st_session,001,4,04.jpg,480,640,3,10009,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_4\05.jpg,1st_session,001,4,05.jpg,480,640,3,10090,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_4\06.jpg,1st_session,001,4,06.jpg,480,640,3,9904,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_1\01.jpg,1st_session,002,1,01.jpg,480,640,3,9799,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_1\02.jpg,1st_session,002,1,02.jpg,480,640,3,9769,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_1\03.jpg,1st_session,002,1,03.jpg,480,640,3,9776,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_1\04.jpg,1st_session,002,1,04.jpg,480,640,3,9782,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_1\05.jpg,1st_session,002,1,05.jpg,480,640,3,9728,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_1\06.jpg,1st_session,002,1,06.jpg,480,640,3,9672,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_2\01.jpg,1st_session,002,2,01.jpg,480,640,3,9143,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_2\02.jpg,1st_session,002,2,02.jpg,480,640,3,9149,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_2\03.jpg,1st_session,002,2,03.jpg,480,640,3,9189,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_2\04.jpg,1st_session,002,2,04.jpg,480,640,3,9148,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_2\05.jpg,1st_session,002,2,05.jpg,480,640,3,9093,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_2\06.jpg,1st_session,002,2,06.jpg,480,640,3,9064,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_3\01.jpg,1st_session,002,3,01.jpg,480,640,3,9143,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_3\02.jpg,1st_session,002,3,02.jpg,480,640,3,9148,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_3\03.jpg,1st_session,002,3,03.jpg,480,640,3,9058,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_3\04.jpg,1st_session,002,3,04.jpg,480,640,3,9024,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_3\05.jpg,1st_session,002,3,05.jpg,480,640,3,8971,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_3\06.jpg,1st_session,002,3,06.jpg,480,640,3,9032,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_4\01.jpg,1st_session,002,4,01.jpg,480,640,3,10174,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_4\02.jpg,1st_session,002,4,02.jpg,480,640,3,10246,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_4\03.jpg,1st_session,002,4,03.jpg,480,640,3,10171,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_4\04.jpg,1st_session,002,4,04.jpg,480,640,3,10187,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_4\05.jpg,1st_session,002,4,05.jpg,480,640,3,10092,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\002_4\06.jpg,1st_session,002,4,06.jpg,480,640,3,10218,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_1\01.jpg,1st_session,003,1,01.jpg,480,640,3,13641,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_1\02.jpg,1st_session,003,1,02.jpg,480,640,3,13549,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_1\03.jpg,1st_session,003,1,03.jpg,480,640,3,13578,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_1\04.jpg,1st_session,003,1,04.jpg,480,640,3,13512,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_1\05.jpg,1st_session,003,1,05.jpg,480,640,3,13484,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_1\06.jpg,1st_session,003,1,06.jpg,480,640,3,13678,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_2\01.jpg,1st_session,003,2,01.jpg,480,640,3,12362,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_2\02.jpg,1st_session,003,2,02.jpg,480,640,3,12158,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_2\03.jpg,1st_session,003,2,03.jpg,480,640,3,12241,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_2\04.jpg,1st_session,003,2,04.jpg,480,640,3,12308,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_2\05.jpg,1st_session,003,2,05.jpg,480,640,3,12246,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_2\06.jpg,1st_session,003,2,06.jpg,480,640,3,12085,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_3\01.jpg,1st_session,003,3,01.jpg,480,640,3,11193,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_3\02.jpg,1st_session,003,3,02.jpg,480,640,3,11236,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_3\03.jpg,1st_session,003,3,03.jpg,480,640,3,11139,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_3\04.jpg,1st_session,003,3,04.jpg,480,640,3,11224,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_3\05.jpg,1st_session,003,3,05.jpg,480,640,3,11111,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_3\06.jpg,1st_session,003,3,06.jpg,480,640,3,10944,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_4\01.jpg,1st_session,003,4,01.jpg,480,640,3,12536,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_4\02.jpg,1st_session,003,4,02.jpg,480,640,3,12361,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_4\03.jpg,1st_session,003,4,03.jpg,480,640,3,12323,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_4\04.jpg,1st_session,003,4,04.jpg,480,640,3,12414,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_4\05.jpg,1st_session,003,4,05.jpg,480,640,3,12370,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\003_4\06.jpg,1st_session,003,4,06.jpg,480,640,3,12331,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_1\01.jpg,1st_session,004,1,01.jpg,480,640,3,9840,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_1\02.jpg,1st_session,004,1,02.jpg,480,640,3,9743,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_1\03.jpg,1st_session,004,1,03.jpg,480,640,3,9862,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_1\04.jpg,1st_session,004,1,04.jpg,480,640,3,9558,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_1\05.jpg,1st_session,004,1,05.jpg,480,640,3,9633,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_1\06.jpg,1st_session,004,1,06.jpg,480,640,3,9664,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_2\01.jpg,1st_session,004,2,01.jpg,480,640,3,9672,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_2\02.jpg,1st_session,004,2,02.jpg,480,640,3,9626,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_2\03.jpg,1st_session,004,2,03.jpg,480,640,3,9561,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_2\04.jpg,1st_session,004,2,04.jpg,480,640,3,9548,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_2\05.jpg,1st_session,004,2,05.jpg,480,640,3,9533,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_2\06.jpg,1st_session,004,2,06.jpg,480,640,3,9607,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_3\01.jpg,1st_session,004,3,01.jpg,480,640,3,9087,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_3\02.jpg,1st_session,004,3,02.jpg,480,640,3,9063,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_3\03.jpg,1st_session,004,3,03.jpg,480,640,3,9012,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_3\04.jpg,1st_session,004,3,04.jpg,480,640,3,9083,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_3\05.jpg,1st_session,004,3,05.jpg,480,640,3,9019,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_3\06.jpg,1st_session,004,3,06.jpg,480,640,3,9043,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_4\01.jpg,1st_session,004,4,01.jpg,480,640,3,9156,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_4\02.jpg,1st_session,004,4,02.jpg,480,640,3,9016,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_4\03.jpg,1st_session,004,4,03.jpg,480,640,3,9334,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_4\04.jpg,1st_session,004,4,04.jpg,480,640,3,9003,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_4\05.jpg,1st_session,004,4,05.jpg,480,640,3,9066,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\004_4\06.jpg,1st_session,004,4,06.jpg,480,640,3,9108,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_1\01.jpg,1st_session,005,1,01.jpg,480,640,3,10059,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_1\02.jpg,1st_session,005,1,02.jpg,480,640,3,9926,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_1\03.jpg,1st_session,005,1,03.jpg,480,640,3,9809,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_1\04.jpg,1st_session,005,1,04.jpg,480,640,3,9786,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_1\05.jpg,1st_session,005,1,05.jpg,480,640,3,9742,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_1\06.jpg,1st_session,005,1,06.jpg,480,640,3,9743,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_2\01.jpg,1st_session,005,2,01.jpg,480,640,3,10026,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_2\02.jpg,1st_session,005,2,02.jpg,480,640,3,10016,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_2\03.jpg,1st_session,005,2,03.jpg,480,640,3,10109,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_2\04.jpg,1st_session,005,2,04.jpg,480,640,3,9918,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_2\05.jpg,1st_session,005,2,05.jpg,480,640,3,9831,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_2\06.jpg,1st_session,005,2,06.jpg,480,640,3,9825,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_3\01.jpg,1st_session,005,3,01.jpg,480,640,3,9074,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_3\02.jpg,1st_session,005,3,02.jpg,480,640,3,9066,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_3\03.jpg,1st_session,005,3,03.jpg,480,640,3,9226,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_3\04.jpg,1st_session,005,3,04.jpg,480,640,3,9088,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_3\05.jpg,1st_session,005,3,05.jpg,480,640,3,9208,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_3\06.jpg,1st_session,005,3,06.jpg,480,640,3,9145,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_4\01.jpg,1st_session,005,4,01.jpg,480,640,3,12356,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_4\02.jpg,1st_session,005,4,02.jpg,480,640,3,12263,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_4\03.jpg,1st_session,005,4,03.jpg,480,640,3,12118,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_4\04.jpg,1st_session,005,4,04.jpg,480,640,3,11993,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_4\05.jpg,1st_session,005,4,05.jpg,480,640,3,12023,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\005_4\06.jpg,1st_session,005,4,06.jpg,480,640,3,12026,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_1\01.jpg,1st_session,006,1,01.jpg,480,640,3,8166,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_1\02.jpg,1st_session,006,1,02.jpg,480,640,3,8036,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_1\03.jpg,1st_session,006,1,03.jpg,480,640,3,7940,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_1\04.jpg,1st_session,006,1,04.jpg,480,640,3,8183,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_1\05.jpg,1st_session,006,1,05.jpg,480,640,3,8016,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_1\06.jpg,1st_session,006,1,06.jpg,480,640,3,7911,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_2\01.jpg,1st_session,006,2,01.jpg,480,640,3,8299,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_2\02.jpg,1st_session,006,2,02.jpg,480,640,3,8138,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_2\03.jpg,1st_session,006,2,03.jpg,480,640,3,8173,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_2\04.jpg,1st_session,006,2,04.jpg,480,640,3,8157,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_2\05.jpg,1st_session,006,2,05.jpg,480,640,3,8112,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_2\06.jpg,1st_session,006,2,06.jpg,480,640,3,8094,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_3\01.jpg,1st_session,006,3,01.jpg,480,640,3,7811,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_3\02.jpg,1st_session,006,3,02.jpg,480,640,3,7764,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_3\03.jpg,1st_session,006,3,03.jpg,480,640,3,7800,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_3\04.jpg,1st_session,006,3,04.jpg,480,640,3,7661,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_3\05.jpg,1st_session,006,3,05.jpg,480,640,3,7581,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_3\06.jpg,1st_session,006,3,06.jpg,480,640,3,7709,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_4\01.jpg,1st_session,006,4,01.jpg,480,640,3,7798,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_4\02.jpg,1st_session,006,4,02.jpg,480,640,3,7787,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_4\03.jpg,1st_session,006,4,03.jpg,480,640,3,7895,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_4\04.jpg,1st_session,006,4,04.jpg,480,640,3,7806,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_4\05.jpg,1st_session,006,4,05.jpg,480,640,3,7789,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\006_4\06.jpg,1st_session,006,4,06.jpg,480,640,3,7743,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\007_1\01.jpg,1st_session,007,1,01.jpg,480,640,3,8459,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\007_1\02.jpg,1st_session,007,1,02.jpg,480,640,3,8365,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\007_1\03.jpg,1st_session,007,1,03.jpg,480,640,3,8425,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\007_1\04.jpg,1st_session,007,1,04.jpg,480,640,3,8290,OK
