path,session,subject_id,image_name,grade,vein_ratio,components,skeleton_len,issues
binary\1st_session\001_4\01_binary.png,1st_session,001_4,01_binary.png,WARN,0.8033,3,3034,high_vein_ratio=0.803
binary\1st_session\001_4\02_binary.png,1st_session,001_4,02_binary.png,WARN,0.7922,5,2845,high_vein_ratio=0.792
binary\1st_session\001_4\03_binary.png,1st_session,001_4,03_binary.png,WARN,0.7893,3,2747,high_vein_ratio=0.789
binary\1st_session\001_4\04_binary.png,1st_session,001_4,04_binary.png,WARN,0.7945,3,2760,high_vein_ratio=0.794
binary\1st_session\001_4\05_binary.png,1st_session,001_4,05_binary.png,WARN,0.7892,3,3416,high_vein_ratio=0.789
binary\1st_session\001_4\06_binary.png,1st_session,001_4,06_binary.png,WARN,0.7893,3,2747,high_vein_ratio=0.789
binary\1st_session\002_1\01_binary.png,1st_session,002_1,01_binary.png,WARN,0.773,8,3544,high_vein_ratio=0.773
binary\1st_session\002_1\02_binary.png,1st_session,002_1,02_binary.png,WARN,0.7753,9,3847,high_vein_ratio=0.775
binary\1st_session\002_1\03_binary.png,1st_session,002_1,03_binary.png,WARN,0.7763,7,3546,high_vein_ratio=0.776
binary\1st_session\002_1\04_binary.png,1st_session,002_1,04_binary.png,WARN,0.7854,4,3846,high_vein_ratio=0.785
binary\1st_session\002_1\05_binary.png,1st_session,002_1,05_binary.png,WARN,0.7897,7,4087,high_vein_ratio=0.790
binary\1st_session\002_1\06_binary.png,1st_session,002_1,06_binary.png,WARN,0.7886,8,4319,high_vein_ratio=0.789
binary\1st_session\002_2\01_binary.png,1st_session,002_2,01_binary.png,WARN,0.7732,2,2532,high_vein_ratio=0.773
binary\1st_session\002_2\02_binary.png,1st_session,002_2,02_binary.png,WARN,0.7639,3,2446,high_vein_ratio=0.764
binary\1st_session\002_2\03_binary.png,1st_session,002_2,03_binary.png,WARN,0.7741,2,2845,high_vein_ratio=0.774
binary\1st_session\002_2\04_binary.png,1st_session,002_2,04_binary.png,WARN,0.772,3,2581,high_vein_ratio=0.772
binary\1st_session\002_2\05_binary.png,1st_session,002_2,05_binary.png,WARN,0.7721,3,2237,high_vein_ratio=0.772
binary\1st_session\002_2\06_binary.png,1st_session,002_2,06_binary.png,WARN,0.7719,3,2509,high_vein_ratio=0.772
binary\1st_session\002_3\01_binary.png,1st_session,002_3,01_binary.png,WARN,0.7996,4,2516,high_vein_ratio=0.800
binary\1st_session\002_3\02_binary.png,1st_session,002_3,02_binary.png,WARN,0.7863,7,2073,high_vein_ratio=0.786
binary\1st_session\002_3\03_binary.png,1st_session,002_3,03_binary.png,WARN,0.778,5,2173,high_vein_ratio=0.778
binary\1st_session\002_3\04_binary.png,1st_session,002_3,04_binary.png,WARN,0.7761,4,2330,high_vein_ratio=0.776
binary\1st_session\002_3\05_binary.png,1st_session,002_3,05_binary.png,WARN,0.767,3,2046,high_vein_ratio=0.767
binary\1st_session\002_3\06_binary.png,1st_session,002_3,06_binary.png,WARN,0.7682,5,2589,high_vein_ratio=0.768
binary\1st_session\002_4\01_binary.png,1st_session,002_4,01_binary.png,WARN,0.7655,5,2711,high_vein_ratio=0.765
binary\1st_session\002_4\02_binary.png,1st_session,002_4,02_binary.png,WARN,0.7697,2,2334,high_vein_ratio=0.770
binary\1st_session\002_4\03_binary.png,1st_session,002_4,03_binary.png,WARN,0.8118,4,3566,high_vein_ratio=0.812
binary\1st_session\002_4\04_binary.png,1st_session,002_4,04_binary.png,WARN,0.7889,6,2792,high_vein_ratio=0.789
binary\1st_session\002_4\05_binary.png,1st_session,002_4,05_binary.png,WARN,0.7763,5,2934,high_vein_ratio=0.776
binary\1st_session\002_4\06_binary.png,1st_session,002_4,06_binary.png,WARN,0.7976,5,3757,high_vein_ratio=0.798
binary\1st_session\003_1\01_binary.png,1st_session,003_1,01_binary.png,WARN,0.8206,2,4280,high_vein_ratio=0.821
binary\1st_session\003_1\02_binary.png,1st_session,003_1,02_binary.png,WARN,0.8174,2,4137,high_vein_ratio=0.817
binary\1st_session\003_1\03_binary.png,1st_session,003_1,03_binary.png,WARN,0.825,2,4358,high_vein_ratio=0.825
binary\1st_session\003_1\04_binary.png,1st_session,003_1,04_binary.png,WARN,0.8267,4,3898,high_vein_ratio=0.827
binary\1st_session\003_1\05_binary.png,1st_session,003_1,05_binary.png,WARN,0.8263,2,4404,high_vein_ratio=0.826
binary\1st_session\003_1\06_binary.png,1st_session,003_1,06_binary.png,WARN,0.8283,2,4176,high_vein_ratio=0.828
binary\1st_session\003_2\01_binary.png,1st_session,003_2,01_binary.png,WARN,0.8219,2,3750,high_vein_ratio=0.822
binary\1st_session\003_2\02_binary.png,1st_session,003_2,02_binary.png,WARN,0.8161,4,3838,high_vein_ratio=0.816
binary\1st_session\003_2\03_binary.png,1st_session,003_2,03_binary.png,WARN,0.822,3,4029,high_vein_ratio=0.822
binary\1st_session\003_2\04_binary.png,1st_session,003_2,04_binary.png,WARN,0.8311,2,3569,high_vein_ratio=0.831
binary\1st_session\003_2\05_binary.png,1st_session,003_2,05_binary.png,WARN,0.8328,2,3787,high_vein_ratio=0.833
binary\1st_session\003_2\06_binary.png,1st_session,003_2,06_binary.png,WARN,0.8417,3,3971,high_vein_ratio=0.842
binary\1st_session\003_3\01_binary.png,1st_session,003_3,01_binary.png,WARN,0.8167,2,2939,high_vein_ratio=0.817
binary\1st_session\003_3\02_binary.png,1st_session,003_3,02_binary.png,WARN,0.8644,2,2971,high_vein_ratio=0.864
binary\1st_session\003_3\03_binary.png,1st_session,003_3,03_binary.png,WARN,0.8778,2,2907,high_vein_ratio=0.878
binary\1st_session\003_3\04_binary.png,1st_session,003_3,04_binary.png,WARN,0.8115,2,3503,high_vein_ratio=0.811
binary\1st_session\003_3\05_binary.png,1st_session,003_3,05_binary.png,WARN,0.859,2,2513,high_vein_ratio=0.859
binary\1st_session\003_3\06_binary.png,1st_session,003_3,06_binary.png,WARN,0.8699,2,2559,high_vein_ratio=0.870
binary\1st_session\003_4\01_binary.png,1st_session,003_4,01_binary.png,WARN,0.8544,4,3946,high_vein_ratio=0.854
binary\1st_session\003_4\02_binary.png,1st_session,003_4,02_binary.png,WARN,0.857,4,3800,high_vein_ratio=0.857
binary\1st_session\003_4\03_binary.png,1st_session,003_4,03_binary.png,WARN,0.8539,3,3900,high_vein_ratio=0.854
binary\1st_session\003_4\04_binary.png,1st_session,003_4,04_binary.png,WARN,0.8574,2,3899,high_vein_ratio=0.857
binary\1st_session\003_4\05_binary.png,1st_session,003_4,05_binary.png,WARN,0.8541,2,3792,high_vein_ratio=0.854
binary\1st_session\003_4\06_binary.png,1st_session,003_4,06_binary.png,WARN,0.8543,3,3971,high_vein_ratio=0.854
binary\1st_session\004_1\01_binary.png,1st_session,004_1,01_binary.png,WARN,0.7736,2,3173,high_vein_ratio=0.774
binary\1st_session\004_1\02_binary.png,1st_session,004_1,02_binary.png,WARN,0.7875,5,2977,high_vein_ratio=0.787
binary\1st_session\004_1\03_binary.png,1st_session,004_1,03_binary.png,WARN,0.7791,7,3815,high_vein_ratio=0.779
binary\1st_session\004_1\04_binary.png,1st_session,004_1,04_binary.png,WARN,0.7594,2,3207,high_vein_ratio=0.759
binary\1st_session\004_1\05_binary.png,1st_session,004_1,05_binary.png,WARN,0.7835,3,2826,high_vein_ratio=0.783
binary\1st_session\004_1\06_binary.png,1st_session,004_1,06_binary.png,WARN,0.7927,4,4040,high_vein_ratio=0.793
binary\1st_session\004_2\01_binary.png,1st_session,004_2,01_binary.png,WARN,0.7715,4,2214,high_vein_ratio=0.771
binary\1st_session\004_2\02_binary.png,1st_session,004_2,02_binary.png,WARN,0.7382,6,2772,high_vein_ratio=0.738
binary\1st_session\004_2\03_binary.png,1st_session,004_2,03_binary.png,WARN,0.7321,4,3122,high_vein_ratio=0.732
binary\1st_session\004_2\04_binary.png,1st_session,004_2,04_binary.png,WARN,0.7266,5,2984,high_vein_ratio=0.727
binary\1st_session\004_2\05_binary.png,1st_session,004_2,05_binary.png,WARN,0.7269,6,2989,high_vein_ratio=0.727
binary\1st_session\004_2\06_binary.png,1st_session,004_2,06_binary.png,WARN,0.7278,6,2150,high_vein_ratio=0.728
binary\1st_session\004_3\01_binary.png,1st_session,004_3,01_binary.png,WARN,0.7458,4,2613,high_vein_ratio=0.746
binary\1st_session\004_3\02_binary.png,1st_session,004_3,02_binary.png,WARN,0.7573,4,2233,high_vein_ratio=0.757
binary\1st_session\004_3\03_binary.png,1st_session,004_3,03_binary.png,WARN,0.7596,5,2638,high_vein_ratio=0.760
binary\1st_session\004_3\04_binary.png,1st_session,004_3,04_binary.png,WARN,0.7465,5,2505,high_vein_ratio=0.746
binary\1st_session\004_3\05_binary.png,1st_session,004_3,05_binary.png,WARN,0.7541,4,2357,high_vein_ratio=0.754
binary\1st_session\004_3\06_binary.png,1st_session,004_3,06_binary.png,WARN,0.7701,5,2445,high_vein_ratio=0.770
binary\1st_session\004_4\01_binary.png,1st_session,004_4,01_binary.png,WARN,0.7585,5,3231,high_vein_ratio=0.759
binary\1st_session\004_4\02_binary.png,1st_session,004_4,02_binary.png,WARN,0.766,2,3004,high_vein_ratio=0.766
binary\1st_session\004_4\03_binary.png,1st_session,004_4,03_binary.png,WARN,0.7544,2,2747,high_vein_ratio=0.754
binary\1st_session\004_4\04_binary.png,1st_session,004_4,04_binary.png,WARN,0.7761,1,3296,high_vein_ratio=0.776
binary\1st_session\004_4\05_binary.png,1st_session,004_4,05_binary.png,WARN,0.7724,2,3121,high_vein_ratio=0.772
binary\1st_session\004_4\06_binary.png,1st_session,004_4,06_binary.png,WARN,0.7969,3,2252,high_vein_ratio=0.797
binary\1st_session\005_1\01_binary.png,1st_session,005_1,01_binary.png,WARN,0.7699,6,3726,high_vein_ratio=0.770
binary\1st_session\005_1\02_binary.png,1st_session,005_1,02_binary.png,WARN,0.8409,2,3949,high_vein_ratio=0.841
binary\1st_session\005_1\03_binary.png,1st_session,005_1,03_binary.png,WARN,0.8061,6,3350,high_vein_ratio=0.806
binary\1st_session\005_1\04_binary.png,1st_session,005_1,04_binary.png,WARN,0.8089,3,3502,high_vein_ratio=0.809
binary\1st_session\005_1\05_binary.png,1st_session,005_1,05_binary.png,WARN,0.8097,2,3462,high_vein_ratio=0.810
binary\1st_session\005_1\06_binary.png,1st_session,005_1,06_binary.png,WARN,0.8272,4,3802,high_vein_ratio=0.827
binary\1st_session\005_2\01_binary.png,1st_session,005_2,01_binary.png,WARN,0.7835,4,3032,high_vein_ratio=0.784
binary\1st_session\005_2\02_binary.png,1st_session,005_2,02_binary.png,WARN,0.7782,5,3280,high_vein_ratio=0.778
binary\1st_session\005_2\03_binary.png,1st_session,005_2,03_binary.png,WARN,0.7949,8,4508,high_vein_ratio=0.795
binary\1st_session\005_2\04_binary.png,1st_session,005_2,04_binary.png,WARN,0.8085,3,3449,high_vein_ratio=0.809
binary\1st_session\005_2\05_binary.png,1st_session,005_2,05_binary.png,WARN,0.7535,8,2798,high_vein_ratio=0.754
binary\1st_session\005_2\06_binary.png,1st_session,005_2,06_binary.png,WARN,0.7712,6,2547,high_vein_ratio=0.771
binary\1st_session\005_3\01_binary.png,1st_session,005_3,01_binary.png,WARN,0.7468,5,3178,high_vein_ratio=0.747
binary\1st_session\005_3\02_binary.png,1st_session,005_3,02_binary.png,WARN,0.7523,5,3175,high_vein_ratio=0.752
binary\1st_session\005_3\03_binary.png,1st_session,005_3,03_binary.png,WARN,0.8027,2,2810,high_vein_ratio=0.803
binary\1st_session\005_3\04_binary.png,1st_session,005_3,04_binary.png,WARN,0.7837,4,3096,high_vein_ratio=0.784
binary\1st_session\005_3\05_binary.png,1st_session,005_3,05_binary.png,WARN,0.7921,3,2979,high_vein_ratio=0.792
binary\1st_session\005_3\06_binary.png,1st_session,005_3,06_binary.png,WARN,0.783,5,2540,high_vein_ratio=0.783
binary\1st_session\005_4\01_binary.png,1st_session,005_4,01_binary.png,WARN,0.779,5,4024,high_vein_ratio=0.779
binary\1st_session\005_4\02_binary.png,1st_session,005_4,02_binary.png,WARN,0.7694,10,4741,high_vein_ratio=0.769
binary\1st_session\005_4\03_binary.png,1st_session,005_4,03_binary.png,WARN,0.8073,4,5069,high_vein_ratio=0.807
binary\1st_session\005_4\04_binary.png,1st_session,005_4,04_binary.png,WARN,0.8205,4,4853,high_vein_ratio=0.820
binary\1st_session\005_4\05_binary.png,1st_session,005_4,05_binary.png,WARN,0.8227,4,5042,high_vein_ratio=0.823
binary\1st_session\005_4\06_binary.png,1st_session,005_4,06_binary.png,WARN,0.7985,6,4677,high_vein_ratio=0.799
binary\1st_session\006_1\01_binary.png,1st_session,006_1,01_binary.png,WARN,0.7351,4,1598,high_vein_ratio=0.735
binary\1st_session\006_1\02_binary.png,1st_session,006_1,02_binary.png,WARN,0.7523,3,2354,high_vein_ratio=0.752
binary\1st_session\006_1\03_binary.png,1st_session,006_1,03_binary.png,WARN,0.712,10,1506,high_vein_ratio=0.712
binary\1st_session\006_1\04_binary.png,1st_session,006_1,04_binary.png,WARN,0.7685,9,2528,high_vein_ratio=0.768
binary\1st_session\006_1\05_binary.png,1st_session,006_1,05_binary.png,WARN,0.7309,3,1958,high_vein_ratio=0.731
binary\1st_session\006_1\06_binary.png,1st_session,006_1,06_binary.png,WARN,0.7715,3,2056,high_vein_ratio=0.772
binary\1st_session\006_2\01_binary.png,1st_session,006_2,01_binary.png,WARN,0.7009,2,2026,high_vein_ratio=0.701
binary\1st_session\006_2\02_binary.png,1st_session,006_2,02_binary.png,WARN,0.749,3,1778,high_vein_ratio=0.749
binary\1st_session\006_2\03_binary.png,1st_session,006_2,03_binary.png,WARN,0.6755,4,1850,high_vein_ratio=0.676
binary\1st_session\006_2\04_binary.png,1st_session,006_2,04_binary.png,WARN,0.7454,3,1931,high_vein_ratio=0.745
binary\1st_session\006_2\05_binary.png,1st_session,006_2,05_binary.png,WARN,0.7529,3,2112,high_vein_ratio=0.753
binary\1st_session\006_2\06_binary.png,1st_session,006_2,06_binary.png,WARN,0.6856,3,1976,high_vein_ratio=0.686
binary\1st_session\006_3\01_binary.png,1st_session,006_3,01_binary.png,WARN,0.7242,4,1888,high_vein_ratio=0.724
binary\1st_session\006_3\02_binary.png,1st_session,006_3,02_binary.png,WARN,0.7155,1,2243,high_vein_ratio=0.716
binary\1st_session\006_3\03_binary.png,1st_session,006_3,03_binary.png,WARN,0.7657,2,2277,high_vein_ratio=0.766
binary\1st_session\006_3\04_binary.png,1st_session,006_3,04_binary.png,WARN,0.7054,6,1851,high_vein_ratio=0.705
binary\1st_session\006_3\05_binary.png,1st_session,006_3,05_binary.png,WARN,0.7039,2,2079,high_vein_ratio=0.704
binary\1st_session\006_3\06_binary.png,1st_session,006_3,06_binary.png,WARN,0.683,1,2172,high_vein_ratio=0.683
binary\1st_session\006_4\01_binary.png,1st_session,006_4,01_binary.png,WARN,0.7734,1,2251,high_vein_ratio=0.773
binary\1st_session\006_4\02_binary.png,1st_session,006_4,02_binary.png,WARN,0.7597,1,2145,high_vein_ratio=0.760
binary\1st_session\006_4\03_binary.png,1st_session,006_4,03_binary.png,WARN,0.7656,1,1640,high_vein_ratio=0.766
binary\1st_session\006_4\04_binary.png,1st_session,006_4,04_binary.png,WARN,0.7966,3,2308,high_vein_ratio=0.797
binary\1st_session\006_4\05_binary.png,1st_session,006_4,05_binary.png,WARN,0.8151,2,2016,high_vein_ratio=0.815
binary\1st_session\006_4\06_binary.png,1st_session,006_4,06_binary.png,WARN,0.7913,1,2060,high_vein_ratio=0.791
binary\1st_session\007_1\01_binary.png,1st_session,007_1,01_binary.png,WARN,0.8267,1,1975,high_vein_ratio=0.827
binary\1st_session\007_1\02_binary.png,1st_session,007_1,02_binary.png,WARN,0.8231,2,2740,high_vein_ratio=0.823
binary\1st_session\007_1\03_binary.png,1st_session,007_1,03_binary.png,WARN,0.8527,1,1945,high_vein_ratio=0.853
binary\1st_session\007_1\04_binary.png,1st_session,007_1,04_binary.png,WARN,0.8213,3,2490,high_vein_ratio=0.821
binary\1st_session\007_1\05_binary.png,1st_session,007_1,05_binary.png,WARN,0.8322,1,2531,high_vein_ratio=0.832
binary\1st_session\007_1\06_binary.png,1st_session,007_1,06_binary.png,WARN,0.8452,1,2638,high_vein_ratio=0.845
binary\1st_session\007_2\01_binary.png,1st_session,007_2,01_binary.png,WARN,0.7602,4,2268,high_vein_ratio=0.760
binary\1st_session\007_2\02_binary.png,1st_session,007_2,02_binary.png,WARN,0.6994,3,1837,high_vein_ratio=0.699
binary\1st_session\007_2\03_binary.png,1st_session,007_2,03_binary.png,WARN,0.7388,3,1846,high_vein_ratio=0.739
binary\1st_session\007_2\04_binary.png,1st_session,007_2,04_binary.png,WARN,0.7132,3,2236,high_vein_ratio=0.713
binary\1st_session\007_2\05_binary.png,1st_session,007_2,05_binary.png,WARN,0.6664,3,1977,high_vein_ratio=0.666
binary\1st_session\007_2\06_binary.png,1st_session,007_2,06_binary.png,WARN,0.7206,3,2024,high_vein_ratio=0.721
binary\1st_session\007_3\01_binary.png,1st_session,007_3,01_binary.png,WARN,0.7792,5,3241,high_vein_ratio=0.779
binary\1st_session\007_3\02_binary.png,1st_session,007_3,02_binary.png,WARN,0.74,3,2664,high_vein_ratio=0.740
binary\1st_session\007_3\03_binary.png,1st_session,007_3,03_binary.png,WARN,0.7861,3,2439,high_vein_ratio=0.786
binary\1st_session\007_3\04_binary.png,1st_session,007_3,04_binary.png,WARN,0.7764,9,2583,high_vein_ratio=0.776
binary\1st_session\007_3\05_binary.png,1st_session,007_3,05_binary.png,WARN,0.7828,3,2276,high_vein_ratio=0.783
binary\1st_session\007_3\06_binary.png,1st_session,007_3,06_binary.png,WARN,0.7825,3,2892,high_vein_ratio=0.783
binary\1st_session\007_4\01_binary.png,1st_session,007_4,01_binary.png,WARN,0.8828,1,2166,high_vein_ratio=0.883
binary\1st_session\007_4\02_binary.png,1st_session,007_4,02_binary.png,WARN,0.8191,7,3445,high_vein_ratio=0.819
binary\1st_session\007_4\03_binary.png,1st_session,007_4,03_binary.png,WARN,0.8934,1,1977,high_vein_ratio=0.893
binary\1st_session\007_4\04_binary.png,1st_session,007_4,04_binary.png,WARN,0.8772,1,2819,high_vein_ratio=0.877
binary\1st_session\007_4\05_binary.png,1st_session,007_4,05_binary.png,WARN,0.8754,1,2750,high_vein_ratio=0.875
binary\1st_session\007_4\06_binary.png,1st_session,007_4,06_binary.png,WARN,0.8713,2,3526,high_vein_ratio=0.871
binary\1st_session\008_1\01_binary.png,1st_session,008_1,01_binary.png,WARN,0.7451,4,2643,high_vein_ratio=0.745
binary\1st_session\008_1\02_binary.png,1st_session,008_1,02_binary.png,WARN,0.7436,1,2601,high_vein_ratio=0.744
binary\1st_session\008_1\03_binary.png,1st_session,008_1,03_binary.png,WARN,0.733,3,2509,high_vein_ratio=0.733
binary\1st_session\008_1\04_binary.png,1st_session,008_1,04_binary.png,WARN,0.7404,2,2097,high_vein_ratio=0.740
binary\1st_session\008_1\05_binary.png,1st_session,008_1,05_binary.png,WARN,0.7094,11,2688,high_vein_ratio=0.709
binary\1st_session\008_1\06_binary.png,1st_session,008_1,06_binary.png,WARN,0.7268,4,2248,high_vein_ratio=0.727
binary\1st_session\008_2\01_binary.png,1st_session,008_2,01_binary.png,WARN,0.7657,2,1962,high_vein_ratio=0.766
binary\1st_session\008_2\02_binary.png,1st_session,008_2,02_binary.png,WARN,0.7573,4,2149,high_vein_ratio=0.757
binary\1st_session\008_2\03_binary.png,1st_session,008_2,03_binary.png,WARN,0.7532,5,1992,high_vein_ratio=0.753
binary\1st_session\008_2\04_binary.png,1st_session,008_2,04_binary.png,WARN,0.741,2,1894,high_vein_ratio=0.741
binary\1st_session\008_2\05_binary.png,1st_session,008_2,05_binary.png,WARN,0.7533,4,1875,high_vein_ratio=0.753
binary\1st_session\008_2\06_binary.png,1st_session,008_2,06_binary.png,WARN,0.7592,3,1952,high_vein_ratio=0.759
binary\1st_session\008_3\01_binary.png,1st_session,008_3,01_binary.png,WARN,0.7483,4,2248,high_vein_ratio=0.748
binary\1st_session\008_3\02_binary.png,1st_session,008_3,02_binary.png,WARN,0.7418,2,2387,high_vein_ratio=0.742
binary\1st_session\008_3\03_binary.png,1st_session,008_3,03_binary.png,WARN,0.6881,5,2349,high_vein_ratio=0.688
binary\1st_session\008_3\04_binary.png,1st_session,008_3,04_binary.png,WARN,0.7669,2,2075,high_vein_ratio=0.767
binary\1st_session\008_3\05_binary.png,1st_session,008_3,05_binary.png,WARN,0.7906,2,2188,high_vein_ratio=0.791
binary\1st_session\008_3\06_binary.png,1st_session,008_3,06_binary.png,WARN,0.7474,2,2275,high_vein_ratio=0.747
binary\1st_session\008_4\01_binary.png,1st_session,008_4,01_binary.png,WARN,0.7366,1,2210,high_vein_ratio=0.737
binary\1st_session\008_4\02_binary.png,1st_session,008_4,02_binary.png,WARN,0.7418,1,2149,high_vein_ratio=0.742
binary\1st_session\008_4\03_binary.png,1st_session,008_4,03_binary.png,WARN,0.7569,1,2268,high_vein_ratio=0.757
binary\1st_session\008_4\04_binary.png,1st_session,008_4,04_binary.png,WARN,0.7617,1,2327,high_vein_ratio=0.762
binary\1st_session\008_4\05_binary.png,1st_session,008_4,05_binary.png,WARN,0.7792,1,2426,high_vein_ratio=0.779
binary\1st_session\008_4\06_binary.png,1st_session,008_4,06_binary.png,WARN,0.7696,2,2159,high_vein_ratio=0.770
binary\1st_session\009_1\01_binary.png,1st_session,009_1,01_binary.png,WARN,0.6634,3,2105,high_vein_ratio=0.663
binary\1st_session\009_1\02_binary.png,1st_session,009_1,02_binary.png,WARN,0.6428,3,1903,high_vein_ratio=0.643
binary\1st_session\009_1\03_binary.png,1st_session,009_1,03_binary.png,WARN,0.6774,2,2327,high_vein_ratio=0.677
binary\1st_session\009_1\04_binary.png,1st_session,009_1,04_binary.png,WARN,0.7037,1,2177,high_vein_ratio=0.704
binary\1st_session\009_1\05_binary.png,1st_session,009_1,05_binary.png,WARN,0.6789,1,2223,high_vein_ratio=0.679
binary\1st_session\009_1\06_binary.png,1st_session,009_1,06_binary.png,WARN,0.7003,3,2301,high_vein_ratio=0.700
binary\1st_session\009_2\01_binary.png,1st_session,009_2,01_binary.png,WARN,0.6512,1,1963,high_vein_ratio=0.651
binary\1st_session\009_2\02_binary.png,1st_session,009_2,02_binary.png,WARN,0.6746,1,2163,high_vein_ratio=0.675
binary\1st_session\009_2\03_binary.png,1st_session,009_2,03_binary.png,WARN,0.6756,4,2038,high_vein_ratio=0.676
binary\1st_session\009_2\04_binary.png,1st_session,009_2,04_binary.png,WARN,0.6918,3,2207,high_vein_ratio=0.692
binary\1st_session\009_2\05_binary.png,1st_session,009_2,05_binary.png,WARN,0.6683,2,2231,high_vein_ratio=0.668
binary\1st_session\009_2\06_binary.png,1st_session,009_2,06_binary.png,WARN,0.6656,1,2013,high_vein_ratio=0.666
binary\1st_session\009_3\01_binary.png,1st_session,009_3,01_binary.png,WARN,0.6231,2,1912,high_vein_ratio=0.623
binary\1st_session\009_3\02_binary.png,1st_session,009_3,02_binary.png,WARN,0.6529,1,1737,high_vein_ratio=0.653
binary\1st_session\009_3\03_binary.png,1st_session,009_3,03_binary.png,WARN,0.6192,2,1826,high_vein_ratio=0.619
binary\1st_session\009_3\04_binary.png,1st_session,009_3,04_binary.png,WARN,0.6216,2,2064,high_vein_ratio=0.622
binary\1st_session\009_3\05_binary.png,1st_session,009_3,05_binary.png,WARN,0.6486,2,1942,high_vein_ratio=0.649
binary\1st_session\009_3\06_binary.png,1st_session,009_3,06_binary.png,WARN,0.6346,7,1859,high_vein_ratio=0.635
binary\1st_session\009_4\01_binary.png,1st_session,009_4,01_binary.png,WARN,0.7027,1,2220,high_vein_ratio=0.703
binary\1st_session\009_4\02_binary.png,1st_session,009_4,02_binary.png,WARN,0.6839,3,2015,high_vein_ratio=0.684
binary\1st_session\009_4\03_binary.png,1st_session,009_4,03_binary.png,WARN,0.6829,1,2434,high_vein_ratio=0.683
binary\1st_session\009_4\04_binary.png,1st_session,009_4,04_binary.png,WARN,0.6818,1,2335,high_vein_ratio=0.682
binary\1st_session\009_4\05_binary.png,1st_session,009_4,05_binary.png,WARN,0.6747,1,2270,high_vein_ratio=0.675
binary\1st_session\009_4\06_binary.png,1st_session,009_4,06_binary.png,WARN,0.7262,2,2062,high_vein_ratio=0.726
binary\1st_session\010_1\01_binary.png,1st_session,010_1,01_binary.png,WARN,0.4479,6,1505,high_vein_ratio=0.448
binary\1st_session\010_1\02_binary.png,1st_session,010_1,02_binary.png,WARN,0.4896,9,1691,high_vein_ratio=0.490
binary\1st_session\010_1\03_binary.png,1st_session,010_1,03_binary.png,WARN,0.4154,8,1360,high_vein_ratio=0.415
binary\1st_session\010_1\04_binary.png,1st_session,010_1,04_binary.png,WARN,0.3856,6,1485,high_vein_ratio=0.386
binary\1st_session\010_1\05_binary.png,1st_session,010_1,05_binary.png,WARN,0.3992,10,1495,high_vein_ratio=0.399
binary\1st_session\010_1\06_binary.png,1st_session,010_1,06_binary.png,WARN,0.4692,8,1423,high_vein_ratio=0.469
binary\1st_session\010_2\01_binary.png,1st_session,010_2,01_binary.png,WARN,0.4283,2,1369,high_vein_ratio=0.428
binary\1st_session\010_2\02_binary.png,1st_session,010_2,02_binary.png,WARN,0.4665,3,1288,high_vein_ratio=0.466
